hold,rebalance,k_pct,exec_lag,cost,gross_sharpe,net_sharpe,ann_return,max_drawdown,turnover_annual,cost_drag_annual,n_bars
4,4,0.1,2,med,-0.0029744579803816953,-7.428881605945293,-0.9455956786194413,-0.9998477980007322,3782.128949162815,2.8365967118721116,26398
4,4,0.1,2,high,-0.0029744579803816953,-14.47971034799496,-0.9968273070908434,-0.9999999704452323,3782.128949162815,5.673193423744223,26398
4,4,0.2,1,low,0.49159100804920813,-2.4452755972793474,-0.45224636942038354,-0.8426053900971167,3447.9469223858946,0.689589384477179,26398
4,4,0.2,1,med,0.49159100804920813,-10.330295027190958,-0.917887755072848,-0.9994651120060942,3447.9469223858946,2.585960191789421,26398
4,4,0.2,1,high,0.49159100804920813,-19.97530063074676,-0.9938432549679002,-0.9999997820909038,3447.9469223858946,5.171920383578842,26398
4,4,0.2,2,low,-0.002382982668112628,-3.010276352701461,-0.5114927884694188,-0.8871630935051369,3447.472860498089,0.689494572099618,26398
4,4,0.2,2,med,-0.002382982668112628,-11.087072943614377,-0.9267451788828556,-0.999620494899209,3447.472860498089,2.585604645373567,26398
4,4,0.2,2,high,-0.002382982668112628,-20.9327907243225,-0.9945049189751515,-0.9999998453040193,3447.472860498089,5.171209290747134,26398
4,4,0.3,1,low,0.33879734446521603,-3.2165219803377263,-0.43897701959247404,-0.8275527411221503,3109.130581517883,0.6218261163035765,26398
4,4,0.3,1,med,0.33879734446521603,-12.647730043089773,-0.8986468300293159,-0.9989915931885428,3109.130581517883,2.3318479361384123,26398
4,4,0.3,1,high,0.33879734446521603,-23.642108452343525,-0.990193836853661,-0.9999991140041594,3109.130581517883,4.663695872276825,26398
4,4,0.3,2,low,-0.0963064849618704,-3.726626931470174,-0.47946859682927,-0.8621436092916028,3108.6479003230265,0.6217295800646053,26398
4,4,0.3,2,med,-0.0963064849618704,-13.354571632930137,-0.9059333077679468,-0.9991937319111457,3108.6479003230265,2.33148592524227,26398
4,4,0.3,2,high,-0.0963064849618704,-24.52379225534361,-0.9908950371514957,-0.9999992914910202,3108.6479003230265,4.662971850484539,26398
6,1,0.1,1,low,-0.7050724335524012,-2.7029309952287126,-0.5099751995212932,-0.8877003925878566,2518.0916483571987,0.5036183296714396,26398
6,1,0.1,1,med,-0.7050724335524012,-8.196935360156079,-0.8773569543622175,-0.9982067018113097,2518.0916483571987,1.888568736267899,26398
